query_index,rank,query_track_id,retrieved_track_id,exact_match,score,query_scene,query_mood,query_genre,retrieved_mood,retrieved_genre,retrieved_audio_path
3,4,track_0442602,track_1287056,0,0.3177483379840851,"A short film scene showing a tense scene before an important decision. The scene needs background music that feels film. The musical atmosphere should lean toward chillout, easylistening, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",film,chillout|easylistening|electronic|soundtrack,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
3,5,track_0442602,track_0620607,0,0.31619104743003845,"A short film scene showing a tense scene before an important decision. The scene needs background music that feels film. The musical atmosphere should lean toward chillout, easylistening, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",film,chillout|easylistening|electronic|soundtrack,cool,ambient|chillout|electronic,/home/users/xl461/datasets/mtg_jamendo/audio_low/07/620607.low.mp3
4,1,track_1066503,track_0625211,0,0.4310116171836853,"A short film scene showing a bright outdoor scene where the character starts to feel hopeful. The scene needs background music that feels advertising, happy, positive, uplifting. The musical atmosphere should lean toward pop. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",advertising|happy|positive|uplifting,pop,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
4,2,track_1066503,track_1287056,0,0.37931495904922485,"A short film scene showing a bright outdoor scene where the character starts to feel hopeful. The scene needs background music that feels advertising, happy, positive, uplifting. The musical atmosphere should lean toward pop. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",advertising|happy|positive|uplifting,pop,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
4,3,track_1066503,track_1157302,0,0.27532726526260376,"A short film scene showing a bright outdoor scene where the character starts to feel hopeful. The scene needs background music that feels advertising, happy, positive, uplifting. The musical atmosphere should lean toward pop. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",advertising|happy|positive|uplifting,pop,romantic,jazz|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/02/1157302.low.mp3
4,4,track_1066503,track_0442602,0,0.26265159249305725,"A short film scene showing a bright outdoor scene where the character starts to feel hopeful. The scene needs background music that feels advertising, happy, positive, uplifting. The musical atmosphere should lean toward pop. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",advertising|happy|positive|uplifting,pop,film,chillout|easylistening|electronic|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/02/442602.low.mp3
4,5,track_1066503,track_0742884,0,0.2495034635066986,"A short film scene showing a bright outdoor scene where the character starts to feel hopeful. The scene needs background music that feels advertising, happy, positive, uplifting. The musical atmosphere should lean toward pop. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",advertising|happy|positive|uplifting,pop,epic|powerful|trailer,soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/84/742884.low.mp3
5,1,track_0620607,track_0625211,0,0.45479264855384827,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels cool. The musical atmosphere should lean toward ambient, chillout, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",cool,ambient|chillout|electronic,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
5,2,track_0620607,track_1372069,0,0.376970499753952,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels cool. The musical atmosphere should lean toward ambient, chillout, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",cool,ambient|chillout|electronic,dark,club|experimental|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/69/1372069.low.mp3
5,3,track_0620607,track_1287056,0,0.3166193664073944,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels cool. The musical atmosphere should lean toward ambient, chillout, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",cool,ambient|chillout|electronic,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
5,4,track_0620607,track_0442602,0,0.27132436633110046,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels cool. The musical atmosphere should lean toward ambient, chillout, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",cool,ambient|chillout|electronic,film,chillout|easylistening|electronic|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/02/442602.low.mp3
5,5,track_0620607,track_0250990,0,0.19768300652503967,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels cool. The musical atmosphere should lean toward ambient, chillout, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",cool,ambient|chillout|electronic,dream,,/home/users/xl461/datasets/mtg_jamendo/audio_low/90/250990.low.mp3
6,1,track_0250990,track_0625211,0,0.47330552339553833,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels dream. The musical atmosphere should lean toward cinematic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",dream,,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
6,2,track_0250990,track_1287056,0,0.351904958486557,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels dream. The musical atmosphere should lean toward cinematic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",dream,,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
6,3,track_0250990,track_1372069,0,0.32840603590011597,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels dream. The musical atmosphere should lean toward cinematic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",dream,,dark,club|experimental|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/69/1372069.low.mp3
6,4,track_0250990,track_0769426,0,0.24299085140228271,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels dream. The musical atmosphere should lean toward cinematic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",dream,,meditative,folk|newage|soundtrack|world,/home/users/xl461/datasets/mtg_jamendo/audio_low/26/769426.low.mp3
6,5,track_0250990,track_0442602,0,0.230207622051239,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels dream. The musical atmosphere should lean toward cinematic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",dream,,film,chillout|easylistening|electronic|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/02/442602.low.mp3
7,1,track_0843208,track_0625211,0,0.45734894275665283,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, orchestral. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",meditative,folk|newage|orchestral|world,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
7,2,track_0843208,track_1287056,0,0.4047326445579529,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, orchestral. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",meditative,folk|newage|orchestral|world,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
7,3,track_0843208,track_1372069,0,0.254564493894577,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, orchestral. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",meditative,folk|newage|orchestral|world,dark,club|experimental|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/69/1372069.low.mp3
7,4,track_0843208,track_0769426,0,0.22864285111427307,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, orchestral. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",meditative,folk|newage|orchestral|world,meditative,folk|newage|soundtrack|world,/home/users/xl461/datasets/mtg_jamendo/audio_low/26/769426.low.mp3
7,5,track_0843208,track_0442602,0,0.21873381733894348,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, orchestral. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",meditative,folk|newage|orchestral|world,film,chillout|easylistening|electronic|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/02/442602.low.mp3
8,1,track_1372069,track_0742884,0,0.4477677643299103,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels dark. The musical atmosphere should lean toward club, experimental, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark,club|experimental|soundtrack,epic|powerful|trailer,soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/84/742884.low.mp3
8,2,track_1372069,track_1319785,0,0.3697670102119446,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels dark. The musical atmosphere should lean toward club, experimental, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark,club|experimental|soundtrack,epic|movie,orchestral|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/85/1319785.low.mp3
8,3,track_1372069,track_0625211,0,0.36418017745018005,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels dark. The musical atmosphere should lean toward club, experimental, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark,club|experimental|soundtrack,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
8,4,track_1372069,track_1244794,0,0.32915085554122925,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels dark. The musical atmosphere should lean toward club, experimental, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark,club|experimental|soundtrack,epic|film,choir|orchestral|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/94/1244794.low.mp3
8,5,track_1372069,track_1372069,1,0.30682438611984253,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels dark. The musical atmosphere should lean toward club, experimental, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark,club|experimental|soundtrack,dark,club|experimental|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/69/1372069.low.mp3
9,1,track_1314750,track_0742884,0,0.39751073718070984,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels corporate, motivational. The musical atmosphere should lean toward dance, house, trance. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",corporate|motivational,dance|house|trance,epic|powerful|trailer,soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/84/742884.low.mp3
9,2,track_1314750,track_0625211,0,0.3842354416847229,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels corporate, motivational. The musical atmosphere should lean toward dance, house, trance. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",corporate|motivational,dance|house|trance,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
9,3,track_1314750,track_1372069,0,0.3737272024154663,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels corporate, motivational. The musical atmosphere should lean toward dance, house, trance. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",corporate|motivational,dance|house|trance,dark,club|experimental|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/69/1372069.low.mp3
9,4,track_1314750,track_1319785,0,0.3562053442001343,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels corporate, motivational. The musical atmosphere should lean toward dance, house, trance. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",corporate|motivational,dance|house|trance,epic|movie,orchestral|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/85/1319785.low.mp3
9,5,track_1314750,track_1287056,0,0.320112407207489,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels corporate, motivational. The musical atmosphere should lean toward dance, house, trance. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",corporate|motivational,dance|house|trance,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
10,1,track_0769426,track_1287056,0,0.5507700443267822,"A short film scene showing a quiet conversation where something remains unsaid. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",meditative,folk|newage|soundtrack|world,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
10,2,track_0769426,track_0625211,0,0.5138111114501953,"A short film scene showing a quiet conversation where something remains unsaid. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",meditative,folk|newage|soundtrack|world,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
10,3,track_0769426,track_1021915,0,0.2995421588420868,"A short film scene showing a quiet conversation where something remains unsaid. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",meditative,folk|newage|soundtrack|world,emotional,easylistening|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/15/1021915.low.mp3
10,4,track_0769426,track_1157302,0,0.2570834159851074,"A short film scene showing a quiet conversation where something remains unsaid. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",meditative,folk|newage|soundtrack|world,romantic,jazz|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/02/1157302.low.mp3
10,5,track_0769426,track_1372069,0,0.2475704550743103,"A short film scene showing a quiet conversation where something remains unsaid. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.",meditative,folk|newage|soundtrack|world,dark,club|experimental|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/69/1372069.low.mp3
11,1,track_1319785,track_1244794,0,0.451263964176178,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels epic, movie. The musical atmosphere should lean toward orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",epic|movie,orchestral|soundtrack,epic|film,choir|orchestral|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/94/1244794.low.mp3
11,2,track_1319785,track_1319785,1,0.44092315435409546,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels epic, movie. The musical atmosphere should lean toward orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",epic|movie,orchestral|soundtrack,epic|movie,orchestral|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/85/1319785.low.mp3
11,3,track_1319785,track_0742884,0,0.3831327557563782,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels epic, movie. The musical atmosphere should lean toward orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",epic|movie,orchestral|soundtrack,epic|powerful|trailer,soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/84/742884.low.mp3
11,4,track_1319785,track_0625211,0,0.3759348690509796,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels epic, movie. The musical atmosphere should lean toward orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",epic|movie,orchestral|soundtrack,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
11,5,track_1319785,track_1287056,0,0.3208407759666443,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels epic, movie. The musical atmosphere should lean toward orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",epic|movie,orchestral|soundtrack,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
12,1,track_1157302,track_1287056,0,0.5442073345184326,"A short film scene showing a lonely interior scene with very little dialogue. The scene needs background music that feels romantic. The musical atmosphere should lean toward jazz, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",romantic,jazz|soundtrack,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
12,2,track_1157302,track_0625211,0,0.3858810365200043,"A short film scene showing a lonely interior scene with very little dialogue. The scene needs background music that feels romantic. The musical atmosphere should lean toward jazz, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",romantic,jazz|soundtrack,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
12,3,track_1157302,track_1157302,1,0.28987985849380493,"A short film scene showing a lonely interior scene with very little dialogue. The scene needs background music that feels romantic. The musical atmosphere should lean toward jazz, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",romantic,jazz|soundtrack,romantic,jazz|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/02/1157302.low.mp3
12,4,track_1157302,track_1021915,0,0.2662769556045532,"A short film scene showing a lonely interior scene with very little dialogue. The scene needs background music that feels romantic. The musical atmosphere should lean toward jazz, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",romantic,jazz|soundtrack,emotional,easylistening|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/15/1021915.low.mp3
12,5,track_1157302,track_1244794,0,0.18610504269599915,"A short film scene showing a lonely interior scene with very little dialogue. The scene needs background music that feels romantic. The musical atmosphere should lean toward jazz, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",romantic,jazz|soundtrack,epic|film,choir|orchestral|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/94/1244794.low.mp3
13,1,track_1244794,track_1319785,0,0.3669862151145935,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels epic, film. The musical atmosphere should lean toward choir, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",epic|film,choir|orchestral|soundtrack,epic|movie,orchestral|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/85/1319785.low.mp3
13,2,track_1244794,track_1287056,0,0.3538057804107666,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels epic, film. The musical atmosphere should lean toward choir, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",epic|film,choir|orchestral|soundtrack,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
13,3,track_1244794,track_1244794,1,0.34115710854530334,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels epic, film. The musical atmosphere should lean toward choir, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",epic|film,choir|orchestral|soundtrack,epic|film,choir|orchestral|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/94/1244794.low.mp3
13,4,track_1244794,track_0625211,0,0.3318476974964142,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels epic, film. The musical atmosphere should lean toward choir, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",epic|film,choir|orchestral|soundtrack,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
